feature,sharpe_without,impact,critical
beta_60,8.719767613610502,-8.814472676508279,False
ret_10,8.72732305108951,-8.822028113987287,False
pe_ratio,8.777185409318887,-8.871890472216664,False
vol_21,8.789310846563485,-8.884015909461262,False
idio_vol_60,8.792473841432523,-8.8871789043303,False
revenue_growth_yoy,8.805348660043741,-8.900053722941518,False
ret_21,8.841600228623406,-8.936305291521183,False
month_end,8.844337092055143,-8.93904215495292,False
rsi_14,8.87314398019082,-8.967849043088597,False
ret_63,8.879153151617132,-8.973858214514909,False
profit_margin,8.88232048570981,-8.977025548607587,False
vol_5,8.883375269353412,-8.978080332251189,False
ret_5,8.893417373075755,-8.988122435973532,False
vol_z_60,8.909000380883187,-9.003705443780964,False
